Chinese,Nvshu
文化多样性,𛆂𛅽𛈁𛈍𛉾
春游芳草夏赏绿荷池,𛊌𛊢𛆠𛉤𛈣𛊤𛆽𛇮𛆑
秋饮黄花酒冬吟白雪诗,𛉩𛋡𛊨𛈣𛊟𛊚𛆰𛇪𛊗𛆹
危楼高百尺手可摘星辰,𛊄𛈰𛋂𛇫𛅼𛆞𛆄𛋓𛉾𛋙
不能高声语恐惊天上人,𛆳𛈷𛋂𛉂𛆱𛊩𛇆𛆤𛆈𛅳
来到清华两月多安身住在七号楼,𛇤𛇼𛊭𛇳𛅱𛇃𛈁𛊃𛈛𛇭𛇥𛅲𛉥𛈰
同住房间人四个同坐合唱好开心,𛊤𛇭𛋅𛆃𛅳𛈗𛆅𛊤𛇎𛈩𛋬𛆚𛇶𛇹
突然发生非典病人人感觉好忧愁,𛆶𛈔𛆐𛇏𛆌𛉸𛈐𛅳𛅳𛊦𛉫𛆚𛇩𛊝
每日消毒真难受头痛眼花不安然,𛉟𛇈𛈨𛋥𛆭𛈷𛉬𛇊𛋃𛋵𛈣𛆳𛊃𛈔
出去游玩不方便时刻腰牌不离身,𛈚𛇂𛊢𛆧𛆳𛆠𛇙𛆸𛊙𛆱𛉆𛆳𛊎𛈛
思想家中路途远如今回家十分难,𛊸𛊩𛉊𛈌𛋗𛆶𛋟𛇄𛆭𛇳𛉊𛅵𛆙𛈷
每日打电三两次无法接通耐不何,𛉟𛇈𛋆𛋊𛆊𛅱𛇠𛇯𛊡𛋓𛆤𛉈𛆳𛇮
左思右想心不静十二时辰挂在心,𛇍𛊸𛇁𛊩𛇹𛆳𛉽𛅵𛅱𛆸𛋙𛉌𛇥𛇹
非典越来越严重同甘共苦在北京,𛆌𛉸𛋒𛇤𛋒𛋍𛊪𛊤𛇕𛈌𛇰𛇥𛇫𛋭
预防非典可不怕生命安全身健康,𛇃𛋅𛆌𛉸𛆄𛆳𛇲𛇏𛈑𛊃𛈆𛈛𛇝𛉲
